date,sum,velo_sum
2025-01-02,853,1523
2025-01-09,616,1009
2025-01-16,753,1182
2025-01-23,704,1165
2025-01-30,689,1165
2025-02-06,436,678
2025-02-13,475,935
2025-02-20,362,568
2025-02-27,269,371
2025-03-06,347,579
2025-03-13,262,643
2025-03-20,262,495
2025-03-27,207,351
2025-04-03,309,240
2025-04-10,191,239
2025-04-17,108,355
2025-04-24,197,344
2025-05-01,170,437
2025-05-08,200,345
2025-05-15,197,329
2025-05-22,345,746
2025-05-29,258,535
2025-06-05,222,406
2025-06-12,202,407
2025-06-19,168,391
2025-06-26,241,401
2025-07-03,232,422
2025-07-10,177,277
2025-07-17,201,378
2025-07-24,308,576
2025-07-31,296,811
2025-08-07,248,668
2025-08-14,290,476
2025-08-21,356,676
2025-08-28,316,579
2025-09-04,303,587
2025-09-11,201,450
2025-09-18,5082,489
2025-09-25,336,391
2025-10-02,296,374
2025-10-09,292,509
2025-10-16,293,524
2025-10-23,333,784
2025-10-30,320,463
2025-11-06,217,332
2025-11-07,240,359
2025-11-13,210,326
2025-11-20,205,360
2025-11-27,182,323
2025-12-04,154,232
2025-12-11,111,180
2025-12-18,101,204
2025-12-25,96,164
2026-01-01,106,162
2026-01-08,106,117
2026-01-15,124,188
2026-01-22,130,204
2026-01-29,89,176
2026-02-05,81,107
2026-02-12,133,247
2026-02-19,119,189
2026-02-26,83,97
2026-03-05,75,107
2026-03-12,265,167
2026-03-19,67,95
2026-03-26,61,134
2026-04-02,92,120
2026-04-09,66,118
2026-04-16,44,96
2026-04-23,61,102
2026-04-30,65,133
2026-05-07,63,103
2026-05-14,248,117
2026-05-21,94,130
2026-05-28,98,97
2026-06-04,110,99
2026-06-11,66,151
2026-06-18,83,156
2026-06-25,55,101
